district,party,candidate,votes
HD-87,Republican,RON MARSHALL,4012
HD-88,Democrat,KO MOUA,1759
HD-88,Republican,WAYNE RUSK,4110
HD-89,Democrat,KATIE SULLIVAN,2861
HD-89,Republican,GARY WANBERG,1740
HD-90,Democrat,MARILYN MARLER,3290
HD-90,Green,GARY MARBUT,120
HD-90,Libertarian,JOSIAH HINKLE,104
HD-90,Republican,ALAN AULT,1259
HD-91,Democrat,CONNIE KEOGH,4730
HD-91,Republican,BETH WANBERG,898
HD-92,Democrat,GARY M. STEIN,2160
HD-92,Republican,MIKE HOPKINS,2770
HD-93,Democrat,SHIRLEY AZZOPARDI,1664
HD-93,Libertarian,DEVIN J BRAATEN,155
HD-93,Republican,JOE READ,2419
HD-94,Democrat,TOM FRANCE,2798
HD-94,Republican,REBECCA MAPSTON,2247
HD-95,Democrat,SJ HOWELL,3117
HD-95,Libertarian,J.C. WINDMUELLER,136
HD-95,Republican,LAUREN SUBITH,905
HD-96,Democrat,JONATHAN KARLEN,3035
HD-96,Republican,KATHY WHITMAN,2688
HD-97,Democrat,DEVIN JACKSON,2278
HD-97,Republican,LYN HELLEGAARD,2898
HD-98,Democrat,BOB CARTER,2985
HD-98,Libertarian,RICHARD L ARMERDING,208
HD-98,Republican,SONIA SHEARER-HIETT,1860
HD-99,Democrat,MARK THANE,3417
HD-99,Republican,RYAN DARLING,1761
HD-100,Democrat,ZOOEY ZEPHYR,4053
HD-100,Libertarian,MICHAEL VANECEK,211
HD-100,Republican,SEAN PATRICK MCCOY,853
