election,type,race,key,county,precinct,party,candidate,votes
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Libertarian,CHASE OLIVER,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Libertarian,CHASE OLIVER,6
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Libertarian,CHASE OLIVER,5
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Libertarian,CHASE OLIVER,5
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Libertarian,CHASE OLIVER,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Libertarian,CHASE OLIVER,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Libertarian,CHASE OLIVER,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Libertarian,CHASE OLIVER,3
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Libertarian,CHASE OLIVER,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Green,JILL STEIN,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Green,JILL STEIN,4
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Green,JILL STEIN,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Green,JILL STEIN,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Green,JILL STEIN,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Green,JILL STEIN,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Green,JILL STEIN,2
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Green,JILL STEIN,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Green,JILL STEIN,2
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Green,JILL STEIN,2
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Green,JILL STEIN,5
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Green,JILL STEIN,0
